ID|Municipio|UF|Latitude|Longitude
1|ADAMANTINA|SP|-21.6850|-51.0730
2|ADOLFO|SP|-21.2350|-49.6440
3|AGUAI|SP|-22.0590|-46.9790
4|AGUAS DA PRATA|SP|-21.9370|-46.7170
5|AGUAS DE LINDOIA|SP|-22.4760|-46.6330
6|AGUAS DE SANTA BARBARA|SP|-22.8810|-49.2390
7|AGUAS DE SAO PEDRO|SP|-22.5990|-47.8760
8|AGUDOS|SP|-22.4690|-48.9880
9|ALAMBARI|SP|-23.5510|-47.8990
10|ALFREDO MARCONDES|SP|-21.9550|-51.4130
11|ALTAIR|SP|-20.5240|-49.0590
12|ALTINOPOLIS|SP|-21.0260|-47.3740
13|ALTO ALEGRE|SP|-21.5810|-50.1640
14|ALUMINIO|SP|-23.5350|-47.2620
15|ALVARES FLORENCE|SP|-20.3210|-49.9110
16|ALVARES MACHADO|SP|-22.0790|-51.4720
17|ALVARO DE CARVALHO|SP|-22.0890|-49.7190
18|ALVINLANDIA|SP|-22.4440|-49.7630
19|AMERICANA|SP|-22.7390|-47.3310
20|AMERICO BRASILIENSE|SP|-21.7240|-48.1020
21|AMERICO DE CAMPOS|SP|-20.2990|-49.7320
22|AMPARO|SP|-22.7010|-46.7640
23|ANALANDIA|SP|-22.1260|-47.6630
24|ANDRADINA|SP|-20.8960|-51.3790
25|ANGATUBA|SP|-23.4900|-48.4130
26|ANHEMBI|SP|-22.7890|-48.1270
27|ANHUMAS|SP|-22.2950|-51.3870
28|APARECIDA|SP|-22.8470|-45.2300
29|APARECIDA D'OESTE|SP|-20.4490|-50.8800
30|APIAI|SP|-24.5090|-48.8430
31|ARACARIGUAMA|SP|-23.4390|-47.0610
32|ARACATUBA|SP|-21.2090|-50.4330
33|ARACOIABA DA SERRA|SP|-23.5050|-47.6140
34|ARAMINA|SP|-20.0900|-47.7860
35|ARANDU|SP|-23.1340|-49.0540
36|ARAPEI|SP|-22.6740|-44.4480
37|ARARAQUARA|SP|-21.7940|-48.1760
38|ARARAS|SP|-22.3570|-47.3840
39|ARCO-IRIS|SP|-21.7730|-50.4650
40|AREALVA|SP|-22.0290|-48.9110
41|AREIAS|SP|-22.5800|-44.6970
42|AREIOPOLIS|SP|-22.6680|-48.6650
43|ARIRANHA|SP|-21.1880|-48.7870
44|ARTUR NOGUEIRA|SP|-22.5730|-47.1730
45|ARUJA|SP|-23.3960|-46.3210
46|ASPASIA|SP|-20.1590|-50.7330
47|ASSIS|SP|-22.6620|-50.4120
48|ATIBAIA|SP|-23.1170|-46.5500
49|AURIFLAMA|SP|-20.6860|-50.5550
50|AVAI|SP|-22.1470|-49.3330
51|AVANHANDAVA|SP|-21.4610|-49.9500
52|AVARE|SP|-23.0990|-48.9260
53|BADY BASSITT|SP|-20.9180|-49.4450
54|BALBINOS|SP|-21.9000|-49.3570
55|BALSAMO|SP|-20.7350|-49.5840
56|BANANAL|SP|-22.6840|-44.3230
57|BARAO DE ANTONINA|SP|-23.6270|-49.5610
58|BARBOSA|SP|-21.2670|-49.9490
59|BARIRI|SP|-22.0740|-48.7400
60|BARRA BONITA|SP|-22.4950|-48.5580
61|BARRA DO CHAPEU|SP|-24.4730|-49.0250
62|BARRA DO TURVO|SP|-24.7560|-48.5050
63|BARRETOS|SP|-20.5570|-48.5680
64|BARRINHA|SP|-21.1940|-48.1640
65|BARUERI|SP|-23.5110|-46.8760
66|BASTOS|SP|-21.9220|-50.7340
67|BATATAIS|SP|-20.8910|-47.5850
68|BAURU|SP|-22.3150|-49.0610
69|BEBEDOURO|SP|-20.9490|-48.4790
70|BENTO DE ABREU|SP|-21.2710|-50.8120
71|BERNARDINO DE CAMPOS|SP|-23.0130|-49.4740
72|BERTIOGA|SP|-23.8540|-46.1390
73|BILAC|SP|-21.4030|-50.4710
74|BIRIGUI|SP|-21.2890|-50.3400
75|BIRITIBA-MIRIM|SP|-23.5730|-46.0390
76|BOA ESPERANCA DO SUL|SP|-21.9930|-48.3910
77|BOCAINA|SP|-22.1360|-48.5180
78|BOFETE|SP|-23.1020|-48.2580
79|BOITUVA|SP|-23.2830|-47.6720
80|BOM JESUS DOS PERDOES|SP|-23.1350|-46.4650
81|BOM SUCESSO DE ITARARE|SP|-24.3180|-49.1440
82|BORA|SP|-22.2700|-50.5340
83|BORACEIA|SP|-22.1930|-48.7790
84|BORBOREMA|SP|-21.6200|-49.0740
85|BOREBI|SP|-22.5690|-48.9710
86|BOTUCATU|SP|-22.8860|-48.4450
87|BRAGANCA PAULISTA|SP|-22.9520|-46.5420
88|BRAUNA|SP|-21.4990|-50.3160
89|BREJO ALEGRE|SP|-21.1660|-50.1850
90|BRODOWSKI|SP|-20.9910|-47.6590
91|BROTAS|SP|-22.2840|-48.1270
92|BURI|SP|-23.7980|-48.5930
93|BURITAMA|SP|-21.0660|-50.1470
94|BURITIZAL|SP|-20.1910|-47.7080
95|CABRALIA PAULISTA|SP|-22.4560|-49.3380
96|CABREUVA|SP|-23.3080|-47.1330
97|CACAPAVA|SP|-23.1010|-45.7070
98|CACHOEIRA PAULISTA|SP|-22.6650|-45.0090
99|CACONDE|SP|-21.5290|-46.6440
100|CAFELANDIA|SP|-21.8030|-49.6100
101|CAIABU|SP|-22.0120|-51.2360
102|CAIEIRAS|SP|-23.3640|-46.7410
103|CAIUA|SP|-21.8320|-51.9980
104|CAJAMAR|SP|-23.3560|-46.8770
105|CAJATI|SP|-24.7360|-48.1230
106|CAJOBI|SP|-20.8800|-48.8090
107|CAJURU|SP|-21.2750|-47.3040
108|CAMPINA DO MONTE ALEGRE|SP|-23.5920|-48.4770
109|CAMPINAS|SP|-22.9060|-47.0610
110|CAMPO LIMPO PAULISTA|SP|-23.2060|-46.7840
111|CAMPOS DO JORDAO|SP|-22.7390|-45.5910
112|CAMPOS NOVOS PAULISTA|SP|-22.6030|-50.0030
113|CANANEIA|SP|-25.0150|-47.9270
114|CANAS|SP|-22.7040|-45.0550
115|CANDIDO MOTA|SP|-22.7460|-50.3870
116|CANDIDO RODRIGUES|SP|-21.3250|-48.6310
117|CANITAR|SP|-23.0060|-49.7830
118|CAPAO BONITO|SP|-24.0060|-48.3490
119|CAPELA DO ALTO|SP|-23.4710|-47.7350
120|CAPIVARI|SP|-22.9950|-47.5080
121|CARAGUATATUBA|SP|-23.6200|-45.4130
122|CARAPICUIBA|SP|-23.5230|-46.8360
123|CARDOSO|SP|-20.0820|-49.9140
124|CASA BRANCA|SP|-21.7740|-47.0860
125|CASSIA DOS COQUEIROS|SP|-21.2830|-47.1700
126|CASTILHO|SP|-20.8720|-51.4880
127|CATANDUVA|SP|-21.1380|-48.9730
128|CATIGUA|SP|-21.0490|-49.0580
129|CEDRAL|SP|-20.9030|-49.2680
130|CERQUEIRA CESAR|SP|-23.0360|-49.1660
131|CERQUILHO|SP|-23.1650|-47.7440
132|CESARIO LANGE|SP|-23.2270|-47.9530
133|CHARQUEADA|SP|-22.5100|-47.7780
134|CHAVANTES|SP|-23.0390|-49.7090
135|CLEMENTINA|SP|-21.5600|-50.4490
136|COLINA|SP|-20.7130|-48.5410
137|COLOMBIA|SP|-20.1760|-48.6890
138|CONCHAL|SP|-22.3300|-47.1730
139|CONCHAS|SP|-23.0150|-48.0110
140|CORDEIROPOLIS|SP|-22.4820|-47.4570
