ID|IBGE_7|IBGE_6|Municipio_real|UF|Latitude|Longitude|Municipio_ficticio
1|3500105|350010|ADAMANTINA|SP|-21.685|-51.073|ABECASIS
2|3500204|350020|ADOLFO|SP|-21.235|-49.644|ABECASSIS
3|3500303|350030|AGUAI|SP|-22.059|-46.979|ABIJAODI
4|3500402|350040|AGUAS DA PRATA|SP|-21.937|-46.717|ACAKURA
5|3500501|350050|AGUAS DE LINDOIA|SP|-22.476|-46.633|AFANASIEV
6|3500550|350055|AGUAS DE SANTA BARBARA|SP|-22.881|-49.239|ALAMPE
7|3500600|350060|AGUAS DE SAO PEDRO|SP|-22.599|-47.876|ALIONIS
8|3500709|350070|AGUDOS|SP|-22.469|-48.988|ALLAVA
9|3500758|350075|ALAMBARI|SP|-23.551|-47.899|ALLO
10|3500808|350080|ALFREDO MARCONDES|SP|-21.955|-51.413|ALLORA
11|3500907|350090|ALTAIR|SP|-20.524|-49.059|ALMANZA
12|3501004|350100|ALTINOPOLIS|SP|-21.026|-47.374|ALTAREJO
13|3501103|350110|ALTO ALEGRE|SP|-21.581|-50.164|ALVERNE
14|3501152|350115|ALUMINIO|SP|-23.535|-47.262|ALZAGA
15|3501202|350120|ALVARES FLORENCE|SP|-20.321|-49.911|AMANTE
16|3501301|350130|ALVARES MACHADO|SP|-22.079|-51.472|ANDREAZE
17|3501400|350140|ALVARO DE CARVALHO|SP|-22.089|-49.719|ANGHIEVISCH
18|3501509|350150|ALVINLANDIA|SP|-22.444|-49.763|ANGORA
19|3501608|350160|AMERICANA|SP|-22.739|-47.331|ANIDIO
20|3501707|350170|AMERICO BRASILIENSE|SP|-21.724|-48.102|ANNECHINI
21|3501806|350180|AMERICO DE CAMPOS|SP|-20.299|-49.732|ANNUNCIACAO
22|3501905|350190|AMPARO|SP|-22.701|-46.764|ANTABI
23|3502002|350200|ANALANDIA|SP|-22.126|-47.663|ANTONICELLI
24|3502101|350210|ANDRADINA|SP|-20.896|-51.379|ANZILAGO
25|3502200|350220|ANGATUBA|SP|-23.49|-48.413|AOTO
26|3502309|350230|ANHEMBI|SP|-22.789|-48.127|APANAVICIUS
27|3502408|350240|ANHUMAS|SP|-22.295|-51.387|APOLINARIO
28|3502507|350250|APARECIDA|SP|-22.847|-45.23|ARATANI
29|3502606|350260|APARECIDA D'OESTE|SP|-20.449|-50.88|ARCO IRIS
30|3502705|350270|APIAI|SP|-24.509|-48.843|ARENAS
31|3502754|350275|ARACARIGUAMA|SP|-23.439|-47.061|ARIZIO
32|3502804|350280|ARACATUBA|SP|-21.209|-50.433|ARNEIRO
33|3502903|350290|ARACOIABA DA SERRA|SP|-23.505|-47.614|ARNOLD
34|3503000|350300|ARAMINA|SP|-20.09|-47.786|ARTUS
35|3503109|350310|ARANDU|SP|-23.134|-49.054|ASCAR
36|3503158|350315|ARAPEI|SP|-22.674|-44.448|ASSUB
37|3503208|350320|ARARAQUARA|SP|-21.794|-48.176|ATTILI
38|3503307|350330|ARARAS|SP|-22.357|-47.384|AURELIO
39|3503356|350335|ARCO-IRIS|SP|-21.773|-50.465|AVALLONE
40|3503406|350340|AREALVA|SP|-22.029|-48.911|BAITALA
41|3503505|350350|AREIAS|SP|-22.58|-44.697|BALDINETTI
42|3503604|350360|AREIOPOLIS|SP|-22.668|-48.665|BALDUINO
43|3503703|350370|ARIRANHA|SP|-21.188|-48.787|BALLE
44|3503802|350380|ARTUR NOGUEIRA|SP|-22.573|-47.173|BALOGH
45|3503901|350390|ARUJA|SP|-23.396|-46.321|BANDIERA
46|3503950|350395|ASPASIA|SP|-20.159|-50.733|BANDINELLI
47|3504008|350400|ASSIS|SP|-22.662|-50.412|BARMPAS
48|3504107|350410|ATIBAIA|SP|-23.117|-46.55|BAROLO
49|3504206|350420|AURIFLAMA|SP|-20.686|-50.555|BAROUCH
50|3504305|350430|AVAI|SP|-22.147|-49.333|BARSSALOS
51|3504404|350440|AVANHANDAVA|SP|-21.461|-49.95|BASSUL
52|3504503|350450|AVARE|SP|-23.099|-48.926|BATISTETTI
53|3504602|350460|BADY BASSITT|SP|-20.918|-49.445|BAUMGRATZ
54|3504701|350470|BALBINOS|SP|-21.9|-49.357|BAUNGARTEN
55|3504800|350480|BALSAMO|SP|-20.735|-49.584|BAVILONI
56|3504909|350490|BANANAL|SP|-22.684|-44.323|BECHTE
57|3505005|350500|BARAO DE ANTONINA|SP|-23.627|-49.561|BEIJE
58|3505104|350510|BARBOSA|SP|-21.267|-49.949|BEKIERMAN
59|3505203|350520|BARIRI|SP|-22.074|-48.74|BELEDELI
60|3505302|350530|BARRA BONITA|SP|-22.495|-48.558|BELLEZZIA
61|3505351|350535|BARRA DO CHAPEU|SP|-24.473|-49.025|BELLOZI
62|3505401|350540|BARRA DO TURVO|SP|-24.756|-48.505|BENDLIN
63|3505500|350550|BARRETOS|SP|-20.557|-48.568|BENIS
64|3505609|350560|BARRINHA|SP|-21.194|-48.164|BERRINGER
65|3505708|350570|BARUERI|SP|-23.511|-46.876|BERTACO
66|3505807|350580|BASTOS|SP|-21.922|-50.734|BERTINATTI
67|3505906|350590|BATATAIS|SP|-20.891|-47.585|BETIOLLO
68|3506003|350600|BAURU|SP|-22.315|-49.061|BEUST
69|3506102|350610|BEBEDOURO|SP|-20.949|-48.479|BEUTER
70|3506201|350620|BENTO DE ABREU|SP|-21.271|-50.812|BEZERR
71|3506300|350630|BERNARDINO DE CAMPOS|SP|-23.013|-49.474|BIANCO
72|3506359|350635|BERTIOGA|SP|-23.854|-46.139|BIRITIBA MIRIM
73|3506409|350640|BILAC|SP|-21.403|-50.471|BIRKHOLZ
74|3506508|350650|BIRIGUI|SP|-21.289|-50.34|BIRMAN
75|3506607|350660|BIRITIBA-MIRIM|SP|-23.573|-46.039|BIRON
76|3506706|350670|BOA ESPERANCA DO SUL|SP|-21.993|-48.391|BIZAO
77|3506805|350680|BOCAINA|SP|-22.136|-48.518|BIZZON
78|3506904|350690|BOFETE|SP|-23.102|-48.258|BOARINI
79|3507001|350700|BOITUVA|SP|-23.283|-47.672|BODART
80|3507100|350710|BOM JESUS DOS PERDOES|SP|-23.135|-46.465|BOLLI
81|3507159|350715|BOM SUCESSO DE ITARARE|SP|-24.318|-49.144|BOMARO
82|3507209|350720|BORA|SP|-22.27|-50.534|BONACIM
83|3507308|350730|BORACEIA|SP|-22.193|-48.779|BONO
84|3507407|350740|BORBOREMA|SP|-21.62|-49.074|BOSCHIGLIA
85|3507456|350745|BOREBI|SP|-22.569|-48.971|BOTCHER
86|3507506|350750|BOTUCATU|SP|-22.886|-48.445|BOTHREL
87|3507605|350760|BRAGANCA PAULISTA|SP|-22.952|-46.542|BRANDINI
88|3507704|350770|BRAUNA|SP|-21.499|-50.316|BREIA
89|3507753|350775|BREJO ALEGRE|SP|-21.166|-50.185|BREITSCHAFT
90|3507803|350780|BRODOWSKI|SP|-20.991|-47.659|BREULING
91|3507902|350790|BROTAS|SP|-22.284|-48.127|BROKAMP
92|3508009|350800|BURI|SP|-23.798|-48.593|BRUNORO
93|3508108|350810|BURITAMA|SP|-21.066|-50.147|BUCALLON
94|3508207|350820|BURITIZAL|SP|-20.191|-47.708|BUCATER
95|3508306|350830|CABRALIA PAULISTA|SP|-22.456|-49.338|BUCHMAN
96|3508405|350840|CABREUVA|SP|-23.308|-47.133|BUFFULIN
97|3508504|350850|CACAPAVA|SP|-23.101|-45.707|BUJEDA
98|3508603|350860|CACHOEIRA PAULISTA|SP|-22.665|-45.009|BUKAHI
99|3508702|350870|CACONDE|SP|-21.529|-46.644|BUN
100|3508801|350880|CAFELANDIA|SP|-21.803|-49.61|BURGADAO
101|3508900|350890|CAIABU|SP|-22.012|-51.236|BUSSAMRA
102|3509007|350900|CAIEIRAS|SP|-23.364|-46.741|BUTTCHEVITS
103|3509106|350910|CAIUA|SP|-21.832|-51.998|BUTTURINI
104|3509205|350920|CAJAMAR|SP|-23.356|-46.877|BUZAIN
105|3509254|350925|CAJATI|SP|-24.736|-48.123|BUZOLIN
106|3509304|350930|CAJOBI|SP|-20.88|-48.809|CAIMAR
107|3509403|350940|CAJURU|SP|-21.275|-47.304|CALCAGNOTTO
108|3509452|350945|CAMPINA DO MONTE ALEGRE|SP|-23.592|-48.477|CALDERINI
109|3509502|350950|CAMPINAS|SP|-22.906|-47.061|CALEFFI
110|3509601|350960|CAMPO LIMPO PAULISTA|SP|-23.206|-46.784|CALMANOVICI
111|3509700|350970|CAMPOS DO JORDAO|SP|-22.739|-45.591|CAMILATO
112|3509809|350980|CAMPOS NOVOS PAULISTA|SP|-22.603|-50.003|CAMPALDI
113|3509908|350990|CANANEIA|SP|-25.015|-47.927|CAMPEAN
114|3509957|350995|CANAS|SP|-22.704|-45.055|CAMPOZANA
115|3510005|351000|CANDIDO MOTA|SP|-22.746|-50.387|CANATTO
116|3510104|351010|CANDIDO RODRIGUES|SP|-21.325|-48.631|CANCADO
